kota_administrasi,kecamatan,kelurahan,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,rata_rata_ketinggian_air,tanggal_kejadian,frekuensi_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian
Jakarta Timur,MAKASAR,KEBON PALA,"rw 01, 02, 03, 04, 05, 06, 07, 08, 09, 11",10,12,0,0,85,"8, 16, 23, 25 februari",4,0,0,0,0,1256,3,0,0
Jakarta Timur,MAKASAR,MAKASAR,"rw 04, 05, 06, 07",4,17,178,745,90,"23, 25  februari",2,0,0,0,0,553,10,0,0
Jakarta Timur,MAKASAR,PINANG RANTI,"rw 04, 05",2,6,0,0,60,23 februari,1,0,0,0,0,0,0,0,0
Jakarta Timur,MATRAMAN,KEBON MANGGIS,"rw 03, rw 04",2,15,323,1157,80,"8, 25 februari",2,0,0,0,0,400,5,0,0
Jakarta Timur,MATRAMAN,PISANGAN BARU,"rw 02, 03, 04, 08, 12, 13, 14",7,7,0,0,35,"23, 25 februari",2,0,0,0,0,0,0,0,0
Jakarta Timur,MATRAMAN,UTAN KAYU SELATAN,"rw 03,  12",2,5,0,0,35,"23, 25 februari",2,0,0,0,0,0,0,0,0
Jakarta Timur,MATRAMAN,UTAN KAYU UTARA,"rw 05, 08",2,2,0,0,35,"23, 25 februari",2,0,0,0,0,0,0,0,0
Jakarta Timur,MATRAMAN,PAL MERIAM,"rw 01,  03",2,4,0,0,35,"23, 25  februari",2,0,0,0,0,0,0,0,0
Jakarta Timur,PASAR REBO,PEKAYON,rw 07,1,1,0,0,17,16 februari,1,0,0,0,0,0,0,0,0
Jakarta Timur,PULOGADUNG,CIPINANG,rw 12,1,1,0,0,40,23 februari,1,0,0,0,0,0,0,0,0
